CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
2,7.51,7.51,1,7.12,7.12,0,,
1,8.38,15.90,2,8.96,16.09,0,,
1,8.81,24.71,2,8.79,24.88,0,,
2,8.94,33.66,1,8.61,33.50,0,,
2,9.22,42.878,1,8.84,42.338,0,,DNS
