Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
2,12.46,12.46,1,12.26,12.26,3,12.64,12.64,4,12.74,12.74
2,9.32,21.78,1,9.28,21.54,3,9.32,21.96,4,9.30,22.04
2,9.23,31.01,1,9.33,30.87,3,9.26,31.22,4,9.26,31.30
2,9.38,40.39,1,9.42,40.29,3,9.24,40.46,4,9.34,40.64
3,9.49,49.88,2,9.52,49.81,1,9.34,49.80,4,9.38,50.02
2,9.43,59.31,4,9.69,59.50,1,9.43,59.23,3,9.43,59.45
2,9.51,1:08.82,4,9.90,1:09.40,1,9.55,1:08.78,3,9.50,1:08.95
2,9.26,1:18.08,4,10.05,1:19.45,1,9.24,1:18.02,3,9.35,1:18.30
2,9.43,1:27.504,4,10.38,1:29.823,1,9.36,1:27.375,3,9.41,1:27.708
