HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,6.600,6.600,3,6.799,6.799,2,6.754,6.754,4,6.884,6.884
1,9.184,15.785,2,9.103,15.901,4,9.407,16.162,3,9.098,15.982
2,8.560,24.345,1,8.340,24.241,4,8.517,24.679,3,8.647,24.629
2,8.831,33.175,1,8.718,32.959,3,8.578,33.257,4,8.691,33.320
2,9.087,42.262,1,9.027,41.986,4,9.356,42.613,3,8.989,42.309
