GENG Li POSITION,GENG Li LAP TIME,GENG Li ELAPSED TIME,JEON da-Hye POSITION,JEON da-Hye LAP TIME,JEON da-Hye ELAPSED TIME,MCLEOD Chloe POSITION,MCLEOD Chloe LAP TIME,MCLEOD Chloe ELAPSED TIME,BARANOVA Oxana POSITION,BARANOVA Oxana LAP TIME,BARANOVA Oxana ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME
5,11.333,11.333,4,11.319,11.319,3,11.009,11.009,2,10.949,10.949,1,10.717,10.717
5,14.356,25.689,4,14.222,25.540,3,14.437,25.446,1,14.253,25.202,2,14.531,25.248
5,13.490,39.178,4,13.471,39.011,3,13.541,38.986,1,13.511,38.712,2,13.483,38.730
5,13.093,52.271,3,13.048,52.058,4,13.167,52.153,2,13.276,51.988,1,13.050,51.780
4,13.111,1:05.382,5,13.361,1:05.419,3,13.121,1:05.274,2,13.042,1:05.030,1,13.222,1:05.002
3,11.504,1:16.885,1,10.932,1:16.351,4,11.620,1:16.894,5,11.866,1:16.895,2,11.881,1:16.882
2,10.330,1:27.215,1,10.600,1:26.951,3,10.395,1:27.288,5,10.675,1:27.570,4,10.470,1:27.352
2,10.796,1:38.010,1,10.827,1:37.778,4,10.790,1:38.078,5,10.752,1:38.322,3,10.664,1:38.016
2,10.660,1:48.669,1,10.847,1:48.624,3,10.844,1:48.921,5,10.877,1:49.199,4,11.131,1:49.146
2,10.419,1:59.088,1,10.440,1:59.063,3,10.356,1:59.277,4,10.801,2:00.000,5,10.911,2:00.057
2,9.931,2:09.019,1,9.887,2:08.950,3,10.407,2:09.684,4,11.506,2:11.506,5,11.503,2:11.559
1,9.836,2:18.855,2,9.917,2:18.867,3,10.617,2:20.300,4,12.066,2:23.572,5,12.042,2:23.601
2,10.129,2:28.984,1,10.020,2:28.886,3,11.301,2:31.600,5,12.772,2:36.343,4,12.568,2:36.169
1,10.48,2:39.457,2,10.93,2:39.815,3,11.81,2:43.404,4,12.65,2:48.990,5,14.43,2:50.590
