Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME,Marta WOJCIK POSITION,Marta WOJCIK LAP TIME,Marta WOJCIK ELAPSED TIME,Mary GRACE POSITION,Mary GRACE LAP TIME,Mary GRACE ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
1,7.46,7.46,4,8.06,8.06,3,7.84,7.84,2,7.54,7.54
2,10.21,17.68,4,10.40,18.46,3,9.87,17.71,1,9.96,17.50
3,9.86,27.54,4,9.98,28.44,2,9.39,27.10,1,9.58,27.09
3,10.09,37.63,4,10.06,38.51,1,9.61,36.71,2,9.75,36.85
3,10.35,47.977,4,10.45,48.952,1,9.89,46.597,2,9.91,46.758
