Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,TSAI Ping-Yuan POSITION,TSAI Ping-Yuan LAP TIME,TSAI Ping-Yuan ELAPSED TIME
1,14.11,14.11,2,14.19,14.19,3,14.32,14.32,4,14.51,14.51
3,11.80,25.91,2,11.70,25.89,1,11.43,25.75,4,11.59,26.10
3,10.89,36.80,2,10.87,36.76,1,10.80,36.55,4,10.95,37.05
2,10.41,47.21,3,10.46,47.22,1,10.59,47.14,4,10.35,47.40
3,9.78,56.99,2,9.76,56.98,1,9.60,56.74,4,9.93,57.33
3,9.48,1:06.47,2,9.42,1:06.40,1,9.38,1:06.12,4,9.35,1:06.68
3,9.53,1:16.00,2,9.59,1:15.99,1,9.65,1:15.77,4,9.53,1:16.21
2,9.45,1:25.45,3,9.61,1:25.60,1,9.63,1:25.40,4,9.80,1:26.01
1,9.48,1:34.930,3,9.57,1:35.161,2,9.76,1:35.155,4,9.99,1:35.999
