Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Alexis YANG POSITION,Alexis YANG LAP TIME,Alexis YANG ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME
1,8.48,8.48,2,8.60,8.60,5,8.81,8.81,4,8.69,8.69,3,8.66,8.66
4,11.34,19.82,3,11.17,19.77,5,11.28,20.09,2,11.05,19.74,1,11.05,19.71
4,10.75,30.57,1,10.60,30.37,5,10.58,30.67,3,10.71,30.45,2,10.67,30.38
4,10.53,41.10,2,10.46,40.83,5,10.51,41.18,3,10.50,40.95,1,10.34,40.72
4,10.13,51.23,2,10.22,51.05,5,10.14,51.32,3,10.20,51.15,1,10.23,50.95
4,10.05,1:01.28,3,10.11,1:01.16,5,10.05,1:01.37,1,9.83,1:00.98,2,10.11,1:01.06
4,10.11,1:11.39,3,10.06,1:11.22,5,10.13,1:11.50,2,10.16,1:11.14,1,10.05,1:11.11
4,9.80,1:21.19,1,9.76,1:20.98,5,9.77,1:21.27,3,9.96,1:21.10,2,9.94,1:21.05
3,9.91,1:31.10,2,9.99,1:30.97,5,10.03,1:31.30,1,9.82,1:30.92,4,10.06,1:31.11
2,9.26,1:40.36,3,9.49,1:40.46,5,9.40,1:40.70,1,9.42,1:40.34,4,9.47,1:40.58
1,9.19,1:49.55,4,9.42,1:49.88,5,9.29,1:49.99,2,9.38,1:49.72,3,9.27,1:49.85
1,9.34,1:58.89,5,9.95,1:59.83,3,9.27,1:59.26,2,9.44,1:59.16,4,9.56,1:59.41
1,9.45,2:08.34,3,10.84,2:10.67,4,30.86,2:30.12,2,9.75,2:08.91,5,31.51,2:30.92
1,10.07,2:18.404,3,11.11,2:21.774,4,24.24,2:54.359,2,10.53,2:19.432,0,,PEN
