Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME
2,12.73,12.73,1,12.69,12.69,3,12.94,12.94,4,13.05,13.05
2,9.97,22.70,1,9.90,22.59,3,9.83,22.77,4,9.80,22.85
3,9.92,32.62,1,9.75,32.34,2,9.66,32.43,4,9.84,32.69
4,9.66,42.28,1,9.58,41.92,2,9.57,42.00,3,9.40,42.09
4,9.82,52.10,1,9.89,51.81,2,9.89,51.89,3,9.89,51.98
4,9.86,1:01.96,1,9.84,1:01.65,2,9.85,1:01.74,3,9.85,1:01.83
4,9.46,1:11.42,1,9.40,1:11.05,2,9.45,1:11.19,3,9.43,1:11.26
4,9.36,1:20.78,1,9.20,1:20.25,3,9.16,1:20.35,2,9.08,1:20.34
4,9.70,1:30.474,2,9.52,1:29.765,3,9.46,1:29.801,1,9.29,1:29.624
