FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Celine LECOMPERE POSITION,Celine LECOMPERE LAP TIME,Celine LECOMPERE ELAPSED TIME,Caroline HALLISEY POSITION,Caroline HALLISEY LAP TIME,Caroline HALLISEY ELAPSED TIME
4,14.500,14.500,3,14.410,14.410,1,14.193,14.193,2,14.204,14.204
4,11.363,25.862,3,11.396,25.805,2,11.449,25.641,1,11.386,25.590
4,11.432,37.293,3,11.447,37.251,1,11.538,37.179,2,11.593,37.182
1,10.220,47.512,2,10.309,47.560,3,10.451,47.630,4,10.476,47.657
1,9.726,57.238,2,9.762,57.322,4,10.292,57.921,3,9.685,57.342
1,9.950,1:07.187,2,10.065,1:07.386,4,9.880,1:07.800,3,10.058,1:07.399
1,9.970,1:17.157,2,9.999,1:17.385,4,10.228,1:18.028,3,10.045,1:17.443
1,10.385,1:27.542,2,10.279,1:27.663,4,10.721,1:28.748,3,10.252,1:27.695
2,10.16,1:37.698,1,9.85,1:37.513,4,11.34,1:40.085,3,10.14,1:37.834
