JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME
1,6.86,6.86,2,6.90,6.90,3,7.05,7.05,4,7.18,7.18,6,7.44,7.44,5,7.30,7.30
2,9.08,15.94,1,8.93,15.83,3,8.99,16.04,4,8.97,16.15,6,9.01,16.45,5,8.96,16.26
2,8.35,24.29,1,8.39,24.22,3,8.34,24.38,4,8.36,24.51,6,8.66,25.11,5,8.48,24.74
1,8.41,32.70,2,8.60,32.82,3,8.49,32.87,4,8.43,32.94,6,8.91,34.02,5,8.71,33.45
0,8.77,41.47,3,8.75,41.57,0,8.59,41.46,4,8.79,41.733,6,9.16,43.181,5,8.84,42.292
