Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME,Elisa LENKE POSITION,Elisa LENKE LAP TIME,Elisa LENKE ELAPSED TIME
2,13.09,13.09,1,12.96,12.96,3,13.11,13.11,4,13.19,13.19,5,13.29,13.29
2,10.11,23.20,1,10.12,23.08,3,10.21,23.32,4,10.21,23.40,5,10.22,23.51
2,10.61,33.81,1,10.60,33.68,3,10.58,33.90,4,10.59,33.99,5,10.56,34.07
2,10.76,44.57,1,10.80,44.48,3,10.80,44.70,4,10.72,44.71,5,10.75,44.82
3,10.23,54.80,1,10.09,54.57,4,10.19,54.89,2,9.94,54.65,5,10.17,54.99
3,10.13,1:04.93,1,10.17,1:04.74,4,10.13,1:05.02,2,10.18,1:04.83,5,10.12,1:05.11
4,10.32,1:15.25,1,10.14,1:14.88,3,10.12,1:15.14,2,10.17,1:15.00,5,10.23,1:15.34
4,9.92,1:25.17,1,9.89,1:24.77,3,9.96,1:25.10,2,9.90,1:24.90,5,10.15,1:25.49
3,9.81,1:34.973,1,10.10,1:34.869,4,10.05,1:35.141,2,10.06,1:34.953,5,10.31,1:35.796
