HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
3,13.45,13.45,2,13.36,13.36,1,13.03,13.03
2,9.97,23.42,3,10.30,23.67,1,10.34,23.37
2,9.53,32.95,3,9.47,33.14,1,9.54,32.92
1,9.77,42.72,3,9.82,42.97,2,9.82,42.74
1,9.85,52.58,3,10.09,53.06,2,9.97,52.72
2,9.47,1:02.05,3,9.25,1:02.32,1,9.31,1:02.03
1,9.23,1:11.29,2,9.11,1:11.43,3,9.46,1:11.50
1,9.02,1:20.31,3,9.15,1:20.59,2,8.88,1:20.38
1,9.22,1:29.521,3,9.02,1:29.610,2,9.18,1:29.557
