Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
2,13.14,13.14,4,13.37,13.37,1,13.06,13.06,3,13.22,13.22
2,9.97,23.11,3,9.82,23.19,1,9.96,23.02,4,10.01,23.23
2,9.63,32.74,3,9.64,32.83,1,9.65,32.67,4,9.69,32.92
2,9.61,42.35,3,9.66,42.49,1,9.60,42.27,4,9.67,42.59
3,9.62,51.97,1,9.16,51.65,2,9.57,51.84,4,9.46,52.05
3,9.00,1:00.97,1,8.96,1:00.61,2,8.89,1:00.73,4,9.08,1:01.13
3,8.98,1:09.95,1,9.08,1:09.69,2,9.08,1:09.81,4,9.06,1:10.19
3,9.21,1:19.16,1,9.10,1:18.79,2,9.10,1:18.91,4,9.23,1:19.42
3,9.53,1:28.683,1,9.29,1:28.080,2,9.25,1:28.151,4,9.64,1:29.051
