LANSER Erica POSITION,LANSER Erica LAP TIME,LANSER Erica ELAPSED TIME,Vera MILIYAEVA POSITION,Vera MILIYAEVA LAP TIME,Vera MILIYAEVA ELAPSED TIME,Selina MUXEL POSITION,Selina MUXEL LAP TIME,Selina MUXEL ELAPSED TIME,KIM Hye-Kyung POSITION,KIM Hye-Kyung LAP TIME,KIM Hye-Kyung ELAPSED TIME,Anna ROMANOWICZ POSITION,Anna ROMANOWICZ LAP TIME,Anna ROMANOWICZ ELAPSED TIME,SUN Linlin POSITION,SUN Linlin LAP TIME,SUN Linlin ELAPSED TIME
0,12.313,12.313,0,12.287,12.287,0,12.717,12.717,0,13.095,13.095,0,12.207,12.207,0,13.071,13.071
0,16.347,28.660,0,16.295,28.582,0,16.017,28.734,0,16.112,29.206,0,16.301,28.508,0,16.076,29.147
0,13.818,42.478,0,13.629,42.210,0,13.690,42.424,0,13.744,42.951,0,13.842,42.350,0,13.746,42.893
0,11.393,53.871,0,11.390,53.601,0,11.379,53.803,0,11.213,54.164,0,11.203,53.553,0,11.207,54.100
0,10.989,1:04.860,0,11.063,1:04.664,0,11.091,1:04.893,0,10.995,1:05.159,0,11.160,1:04.713,0,11.001,1:05.102
0,11.087,1:15.947,0,11.069,1:15.733,0,11.081,1:15.974,0,10.990,1:16.149,0,11.002,1:15.715,0,10.867,1:15.969
0,11.187,1:27.134,0,11.133,1:26.865,0,11.270,1:27.244,0,11.262,1:27.410,0,11.425,1:27.139,0,11.385,1:27.354
0,11.085,1:38.219,0,11.368,1:38.233,0,11.009,1:38.253,0,11.164,1:38.574,0,11.217,1:38.357,0,11.221,1:38.575
0,10.957,1:49.176,0,11.157,1:49.390,0,11.073,1:49.326,0,10.605,1:49.178,0,11.005,1:49.362,0,10.997,1:49.572
0,11.577,2:00.754,0,11.395,2:00.785,0,11.084,2:00.410,0,10.062,1:59.241,0,10.930,2:00.292,0,9.559,1:59.132
0,11.288,2:12.042,0,11.453,2:12.238,0,11.022,2:11.432,0,9.947,2:09.187,0,11.184,2:11.476,0,10.161,2:09.293
0,11.472,2:23.514,0,12.292,2:24.531,0,11.419,2:22.852,0,10.015,2:19.202,0,11.302,2:22.778,0,9.890,2:19.183
0,11.987,2:35.501,0,12.276,2:36.806,0,11.575,2:34.426,0,9.972,2:29.174,0,11.635,2:34.413,0,10.160,2:29.343
0,,,0,,,0,,,0,,,0,,,0,,
