Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,Mayo OGINO POSITION,Mayo OGINO LAP TIME,Mayo OGINO ELAPSED TIME,Emilie NADEAU-BENOIT POSITION,Emilie NADEAU-BENOIT LAP TIME,Emilie NADEAU-BENOIT ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
1,16.432,16.432,4,17.050,17.050,3,16.923,16.923,2,16.672,16.672
1,12.807,29.239,4,12.717,29.766,3,12.726,29.648,2,12.831,29.502
1,12.007,41.245,4,11.717,41.483,3,11.811,41.458,2,11.787,41.289
3,10.704,51.949,1,10.291,51.773,4,10.514,51.972,2,10.588,51.877
4,9.878,1:01.827,3,9.931,1:01.704,2,9.695,1:01.667,1,9.484,1:01.360
3,9.827,1:11.654,4,9.972,1:11.676,2,9.898,1:11.565,1,9.654,1:11.014
4,9.928,1:21.581,3,9.803,1:21.479,2,9.865,1:21.429,1,9.828,1:20.841
4,10.076,1:31.656,3,10.130,1:31.608,2,10.140,1:31.568,1,10.296,1:31.137
4,10.38,1:42.031,3,10.35,1:41.958,2,10.33,1:41.890,1,10.64,1:41.771
