Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME
2,7.46,7.46,4,7.79,7.79,1,7.36,7.36,3,7.72,7.72
1,9.80,17.26,3,9.63,17.42,2,9.96,17.33,4,9.84,17.56
2,9.52,26.79,3,9.45,26.88,1,9.43,26.76,4,9.45,27.02
2,9.65,36.45,1,9.31,36.19,3,9.72,36.48,4,9.54,36.56
2,9.77,46.213,1,9.70,45.885,3,10.07,46.547,4,10.16,46.713
