Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,CHENG Eric I POSITION,CHENG Eric I LAP TIME,CHENG Eric I ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME
1,6.769,6.769,3,7.136,7.136,4,7.310,7.310,2,6.984,6.984
1,9.355,16.124,4,9.568,16.704,3,9.324,16.634,2,9.189,16.173
2,8.938,25.061,4,9.565,26.269,3,9.137,25.770,1,8.769,24.942
2,8.905,33.966,4,9.305,35.573,3,9.107,34.877,1,8.797,33.739
2,9.68,43.645,4,9.69,45.255,3,9.65,44.521,1,9.46,43.199
