Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME
2,7.65,7.65,4,8.14,8.14,3,7.65,7.65,1,7.33,7.33
3,9.98,17.63,4,10.44,18.59,2,9.62,17.28,1,9.69,17.03
3,9.11,26.74,4,9.97,28.57,2,9.10,26.38,1,9.34,26.37
3,9.23,35.98,4,10.15,38.72,1,9.27,35.66,2,9.44,35.81
3,9.57,45.542,4,10.67,49.390,1,9.54,45.194,2,9.66,45.465
