YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
3,8.10,8.10,2,8.08,8.08,1,8.04,8.04,5,8.26,8.26,3,8.10,8.10
4,10.47,18.57,3,10.37,18.45,2,10.18,18.22,5,10.45,18.71,1,10.02,18.12
4,9.50,28.07,3,9.47,27.92,2,9.60,27.82,5,9.47,28.18,1,9.62,27.74
3,9.41,37.48,5,9.67,37.59,2,9.56,37.38,4,9.40,37.58,1,9.54,37.28
1,9.16,46.64,5,9.31,46.90,4,9.47,46.85,3,9.20,46.78,2,9.45,46.73
1,9.20,55.84,5,9.33,56.23,4,9.20,56.05,2,9.13,55.91,3,9.24,55.97
1,9.34,1:05.18,5,9.40,1:05.63,4,9.37,1:05.42,2,9.40,1:05.31,3,9.41,1:05.38
1,9.56,1:14.74,5,9.61,1:15.24,4,9.69,1:15.11,2,9.52,1:14.83,3,9.54,1:14.92
1,9.63,1:24.37,5,9.79,1:25.03,4,9.75,1:24.86,2,9.64,1:24.47,3,9.65,1:24.57
1,9.56,1:33.93,4,10.22,1:35.25,5,10.65,1:35.51,2,9.58,1:34.05,3,9.56,1:34.13
1,9.54,1:43.47,4,10.62,1:45.87,5,11.62,1:47.13,2,9.53,1:43.58,3,9.55,1:43.68
1,9.54,1:53.01,4,11.21,1:57.08,5,12.39,1:59.52,2,9.55,1:53.13,3,9.58,1:53.26
1,9.63,2:02.64,4,11.88,2:08.96,5,15.42,2:14.94,2,9.63,2:02.76,3,9.62,2:02.88
1,9.74,2:12.38,4,12.85,2:21.81,5,15.12,2:30.06,2,9.83,2:12.59,3,9.76,2:12.64
