Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME
1,13.80,13.80,3,14.10,14.10,2,13.92,13.92,4,14.31,14.31
1,10.52,24.32,4,10.51,24.61,2,10.53,24.45,3,10.26,24.57
3,10.09,34.41,4,9.96,34.57,1,9.74,34.19,2,9.73,34.30
4,10.19,44.60,3,10.00,44.57,1,10.17,44.36,2,10.21,44.51
4,10.21,54.81,3,10.04,54.61,1,10.01,54.37,2,9.97,54.48
4,9.97,1:04.78,3,10.03,1:04.64,1,9.89,1:04.26,2,9.94,1:04.42
4,10.10,1:14.88,3,10.06,1:14.70,1,9.68,1:13.94,2,9.65,1:14.07
4,10.30,1:25.18,3,10.30,1:25.00,1,9.70,1:23.64,2,9.79,1:23.86
4,10.54,1:35.711,3,10.38,1:35.375,1,9.57,1:33.207,2,9.77,1:33.626
