Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
2,7.16,7.16,1,7.12,7.12,4,7.26,7.26,3,7.24,7.24
4,15.62,22.78,1,9.09,16.21,2,9.35,16.61,3,9.43,16.67
4,25.44,48.22,1,8.60,24.81,3,8.94,25.55,2,8.69,25.36
4,11.69,59.91,1,8.78,33.59,3,8.92,34.47,2,8.76,34.12
4,11.20,1:11.105,1,8.91,42.491,3,9.45,43.913,2,9.05,43.166
