VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Yulia KICHAPOVA POSITION,Yulia KICHAPOVA LAP TIME,Yulia KICHAPOVA ELAPSED TIME
2,7.58,7.58,4,7.89,7.89,3,7.68,7.68,1,7.29,7.29,5,8.10,8.10
2,9.74,17.32,4,9.62,17.51,3,9.72,17.40,1,9.36,16.65,5,9.73,17.83
2,9.29,26.61,4,9.23,26.74,3,9.31,26.71,1,9.03,25.68,5,9.16,26.99
2,9.50,36.11,3,9.38,36.12,4,9.58,36.29,1,9.17,34.85,5,9.44,36.43
4,9.95,46.055,2,9.61,45.722,3,9.56,45.841,1,9.57,44.413,5,9.78,46.208
