Aurelie LEVEQUE POSITION,Aurelie LEVEQUE LAP TIME,Aurelie LEVEQUE ELAPSED TIME,Hanna SOKOLOWSKA POSITION,Hanna SOKOLOWSKA LAP TIME,Hanna SOKOLOWSKA ELAPSED TIME,Tetyana ZARVANSKA POSITION,Tetyana ZARVANSKA LAP TIME,Tetyana ZARVANSKA ELAPSED TIME,Maryia TSIASELKINA POSITION,Maryia TSIASELKINA LAP TIME,Maryia TSIASELKINA ELAPSED TIME
2,16.02,16.02,3,16.18,16.18,4,16.30,16.30,1,15.81,15.81
2,11.20,27.22,3,11.15,27.33,4,11.14,27.44,1,11.32,27.13
2,10.84,38.06,3,10.85,38.18,4,10.83,38.27,1,10.84,37.97
1,10.21,48.27,3,10.25,48.43,4,10.33,48.60,2,10.45,48.42
1,10.10,58.37,2,10.02,58.45,3,9.97,58.57,4,10.33,58.75
1,10.10,1:08.47,2,10.15,1:08.60,3,10.17,1:08.74,4,10.17,1:08.92
1,9.97,1:18.44,2,9.94,1:18.54,3,10.11,1:18.85,4,10.09,1:19.01
1,10.01,1:28.45,2,9.97,1:28.51,3,10.42,1:29.27,4,10.36,1:29.37
1,10.13,1:38.58,2,10.18,1:38.69,3,10.69,1:39.96,4,10.71,1:40.08
