Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
1,12.93,12.93,3,13.20,13.20,2,13.08,13.08,4,13.32,13.32
1,10.16,23.09,3,10.02,23.22,2,10.13,23.21,4,10.34,23.66
1,9.86,32.96,2,9.74,32.97,3,9.79,33.01,4,9.59,33.26
1,9.52,42.48,4,24.01,56.98,2,9.61,42.62,3,9.39,42.66
1,9.54,52.03,4,19.93,1:16.92,3,9.52,52.14,2,9.47,52.13
2,9.22,1:01.26,4,14.27,1:31.19,3,9.27,1:01.42,1,8.94,1:01.08
2,9.24,1:10.50,4,11.58,1:42.77,3,9.10,1:10.52,1,9.18,1:10.26
3,10.03,1:20.53,4,11.73,1:54.51,2,9.66,1:20.19,1,9.53,1:19.80
2,10.04,1:30.562,3,12.17,2:06.679,0,,DQ,1,9.37,1:29.166
