Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME
2,14.11,14.11,1,14.00,14.00,3,14.21,14.21,4,14.32,14.32
1,10.70,24.81,2,11.00,25.00,3,10.96,25.17,4,10.97,25.29
1,10.43,35.24,2,10.36,35.36,3,10.31,35.48,4,10.30,35.59
2,10.25,45.49,1,9.89,45.25,3,10.11,45.59,4,10.12,45.71
2,9.73,55.22,1,9.87,55.12,3,9.71,55.30,4,9.70,55.41
4,20.57,1:15.79,1,10.09,1:05.21,2,10.08,1:05.38,3,10.04,1:05.45
4,19.47,1:35.26,1,9.99,1:15.20,2,10.03,1:15.41,3,10.08,1:15.53
4,12.82,1:48.08,1,9.84,1:25.04,2,10.00,1:25.41,3,9.99,1:25.52
0,,notime,1,10.13,1:35.166,0,,PEN,2,10.09,1:35.603
