Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,SHIN Sae-Bom POSITION,SHIN Sae-Bom LAP TIME,SHIN Sae-Bom ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,LIN Wei POSITION,LIN Wei LAP TIME,LIN Wei ELAPSED TIME
3,14.03,14.03,5,14.12,14.12,2,13.41,13.41,1,13.28,13.28,4,14.04,14.04
4,10.39,24.42,5,10.33,24.46,1,10.54,23.95,2,10.74,24.03,3,10.37,24.41
4,10.48,34.91,5,10.53,34.99,2,10.57,34.53,1,10.45,34.48,3,10.33,34.74
4,10.18,45.10,5,10.10,45.10,1,9.84,44.37,2,10.22,44.70,3,10.22,44.97
3,9.47,54.57,4,9.66,54.76,1,9.83,54.21,2,9.76,54.47,5,10.28,55.25
3,9.91,1:04.48,4,9.77,1:04.54,1,9.84,1:04.05,2,9.90,1:04.37,5,10.81,1:06.06
4,9.91,1:14.40,2,9.49,1:14.03,1,9.80,1:13.85,3,9.67,1:14.05,5,11.42,1:17.49
4,9.58,1:23.98,1,9.38,1:23.42,2,9.84,1:23.70,3,9.70,1:23.75,5,12.13,1:29.62
4,10.32,1:34.291,1,9.66,1:33.080,2,9.70,1:33.399,3,9.82,1:33.563,5,12.92,1:42.532
