NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME,KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME
2,15.89,15.89,3,15.94,15.94,1,15.85,15.85,4,15.99,15.99
2,11.64,27.53,4,11.78,27.72,1,11.62,27.47,3,11.65,27.64
1,11.50,39.03,4,11.66,39.38,2,11.69,39.16,3,11.66,39.30
2,10.86,49.89,4,10.83,50.21,1,10.71,49.87,3,10.75,50.05
1,9.87,59.76,4,9.95,1:00.16,2,9.90,59.77,3,9.94,59.99
1,9.23,1:08.99,4,9.60,1:09.76,2,9.31,1:09.08,3,9.25,1:09.24
1,9.01,1:18.00,4,9.60,1:19.36,2,9.00,1:18.08,3,8.94,1:18.18
1,9.13,1:27.13,4,9.82,1:29.18,2,9.21,1:27.29,3,9.30,1:27.48
1,9.45,1:36.575,4,10.26,1:39.435,2,9.32,1:36.607,3,9.17,1:36.641
