Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,Neli TSANKOVA POSITION,Neli TSANKOVA LAP TIME,Neli TSANKOVA ELAPSED TIME,Petra ACKER POSITION,Petra ACKER LAP TIME,Petra ACKER ELAPSED TIME,SONG Jaewon POSITION,SONG Jaewon LAP TIME,SONG Jaewon ELAPSED TIME,Nilasha H ANAND POSITION,Nilasha H ANAND LAP TIME,Nilasha H ANAND ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
1,8.80,8.80,4,9.46,9.46,2,9.14,9.14,5,9.63,9.63,6,9.70,9.70,3,9.17,9.17
1,13.84,22.64,3,13.53,22.99,2,13.76,22.90,5,13.55,23.18,6,13.74,23.44,4,13.92,23.09
1,13.64,36.28,3,13.59,36.58,2,13.63,36.53,4,13.71,36.89,6,13.54,36.98,5,13.80,36.89
1,14.08,50.36,4,14.24,50.82,2,14.20,50.73,5,14.14,51.03,6,14.30,51.28,3,13.90,50.79
5,15.44,1:05.80,2,14.57,1:05.39,1,14.63,1:05.36,4,14.70,1:05.73,6,14.64,1:05.92,3,14.62,1:05.41
2,13.99,1:19.79,4,14.74,1:20.13,3,14.52,1:19.88,5,14.62,1:20.35,6,14.72,1:20.64,1,14.36,1:19.77
1,11.65,1:31.44,3,11.71,1:31.84,2,11.89,1:31.77,5,11.74,1:32.09,6,14.21,1:34.85,4,12.07,1:31.84
1,11.57,1:43.01,3,11.48,1:43.32,2,11.48,1:43.25,5,11.49,1:43.58,6,14.56,1:49.41,4,11.50,1:43.34
1,11.52,1:54.53,2,11.52,1:54.84,3,11.65,1:54.90,5,11.40,1:54.98,6,15.97,2:05.38,4,11.57,1:54.91
1,10.90,2:05.43,4,11.03,2:05.87,3,10.96,2:05.86,5,10.92,2:05.90,6,15.68,2:21.06,2,10.76,2:05.67
1,11.11,2:16.54,3,11.05,2:16.92,4,11.06,2:16.92,5,11.13,2:17.03,6,15.63,2:36.69,2,11.16,2:16.83
2,10.56,2:27.10,5,11.12,2:28.04,4,10.61,2:27.53,1,10.04,2:27.07,6,16.44,2:53.13,3,10.42,2:27.25
1,9.86,2:36.96,5,11.44,2:39.48,4,10.31,2:37.84,2,9.95,2:37.02,6,15.47,3:08.60,3,10.15,2:37.40
2,10.47,2:47.423,5,12.13,2:51.606,4,10.83,2:48.663,1,9.83,2:46.851,6,15.48,3:24.077,3,10.28,2:47.673
