Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
1,12.69,12.69,3,12.91,12.91,4,12.96,12.96,2,12.78,12.78
1,9.83,22.52,2,9.66,22.57,4,9.86,22.82,3,9.89,22.67
3,10.20,32.73,2,10.04,32.62,4,9.93,32.75,1,9.90,32.57
3,9.95,42.69,1,10.02,42.64,4,10.20,42.96,2,10.07,42.65
1,9.45,52.14,2,9.67,52.31,4,9.57,52.54,3,9.73,52.39
1,9.52,1:01.66,2,9.52,1:01.84,3,9.42,1:01.96,4,9.62,1:02.01
1,9.65,1:11.31,2,9.62,1:11.47,3,9.57,1:11.54,4,9.60,1:11.61
1,9.74,1:21.06,2,9.64,1:21.11,3,9.82,1:21.36,4,9.78,1:21.40
2,9.74,1:30.794,1,9.63,1:30.732,3,9.56,1:30.919,4,9.63,1:31.026
