TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,Lexi BURKHOLDER POSITION,Lexi BURKHOLDER LAP TIME,Lexi BURKHOLDER ELAPSED TIME,Courtney COBURN POSITION,Courtney COBURN LAP TIME,Courtney COBURN ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME
4,8.51,8.51,1,7.81,7.81,2,8.12,8.12,3,8.28,8.28
4,10.53,19.04,1,10.24,18.05,2,10.39,18.51,3,10.25,18.53
4,9.79,28.83,1,9.77,27.82,3,10.16,28.67,2,9.59,28.12
3,10.13,38.96,1,9.84,37.66,4,10.38,39.05,2,9.64,37.76
3,10.20,49.153,2,10.42,48.071,4,10.81,49.853,1,10.28,48.031
