BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,ITALY POSITION,ITALY LAP TIME,ITALY ELAPSED TIME
1,11.81,11.81,2,12.36,12.36,3,12.57,12.57,4,12.61,12.61
1,9.20,21.01,2,9.37,21.73,4,0.00,28.44,3,9.14,21.75
1,9.43,30.44,2,9.04,30.77,4,9.32,37.77,3,9.25,31.01
1,9.35,39.80,2,9.07,39.84,4,9.59,47.36,3,10.35,41.36
1,9.54,49.35,2,9.55,49.40,4,9.27,56.64,3,8.15,49.52
2,9.38,58.73,1,9.20,58.60,4,9.33,1:05.98,3,9.39,58.92
3,9.21,1:07.94,2,9.30,1:07.91,4,9.42,1:15.41,1,8.88,1:07.80
2,9.31,1:17.25,1,9.13,1:17.04,4,9.64,1:25.05,3,9.57,1:17.37
2,9.56,1:26.82,1,9.33,1:26.38,4,9.53,1:34.58,3,9.65,1:27.03
2,9.41,1:36.23,1,9.26,1:35.64,4,9.78,1:44.37,3,9.72,1:36.75
3,9.75,1:45.99,1,9.31,1:44.95,4,9.69,1:54.06,2,8.86,1:45.61
3,9.43,1:55.42,1,9.87,1:54.83,4,9.38,2:03.45,2,9.32,1:54.94
3,9.11,2:04.54,1,9.25,2:04.08,4,9.43,2:12.88,2,9.29,2:04.24
3,9.08,2:13.62,1,9.11,2:13.20,4,9.97,2:22.86,2,9.15,2:13.39
3,15.26,2:28.88,1,9.46,2:22.67,4,9.97,2:32.84,2,13.10,2:26.49
3,10.75,2:39.63,1,9.79,2:32.46,4,9.65,2:42.49,2,6.13,2:32.63
3,9.65,2:49.29,1,9.45,2:41.92,4,9.47,2:51.97,2,9.55,2:42.18
3,10.13,2:59.43,1,9.39,2:51.31,4,9.40,3:01.37,2,9.52,2:51.71
3,10.02,3:09.45,1,10.01,3:01.33,4,9.89,3:11.26,2,11.40,3:03.12
3,9.55,3:19.00,2,9.70,3:11.03,4,9.56,3:20.82,1,7.72,3:10.84
3,9.86,3:28.87,2,9.38,3:20.41,4,9.59,3:30.42,1,9.50,3:20.34
3,9.39,3:38.27,2,10.25,3:30.66,4,9.70,3:40.12,1,9.54,3:29.89
3,9.55,3:47.82,2,9.05,3:39.72,4,9.35,3:49.47,1,9.51,3:39.41
3,9.78,3:57.60,2,9.53,3:49.26,4,9.57,3:59.05,1,9.55,3:48.96
3,9.68,4:07.29,2,10.00,3:59.26,4,9.51,4:08.56,1,9.44,3:58.40
3,10.27,4:17.57,2,9.57,4:08.83,4,9.35,4:17.92,1,9.53,4:07.94
3,10.31,4:27.875,2,10.00,4:18.825,4,9.99,4:27.902,1,9.56,4:17.494
