KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,IZAFATAVA Hanna POSITION,IZAFATAVA Hanna LAP TIME,IZAFATAVA Hanna ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,KIM Hae Bin POSITION,KIM Hae Bin LAP TIME,KIM Hae Bin ELAPSED TIME
1,10.23,10.23,4,10.75,10.75,5,10.89,10.89,2,10.37,10.37,6,11.10,11.10,7,11.22,11.22,3,10.52,10.52
2,14.73,24.96,5,14.64,25.39,6,14.70,25.59,3,14.69,25.06,7,14.71,25.81,1,13.70,24.92,4,14.64,25.16
2,12.73,37.69,5,12.64,38.03,5,12.44,38.03,3,12.77,37.83,7,12.44,38.25,1,12.67,37.59,4,12.78,37.94
5,11.68,49.37,6,11.45,49.48,1,10.85,48.88,4,11.43,49.26,7,11.38,49.63,2,11.49,49.08,3,11.21,49.15
5,10.75,1:00.12,6,10.83,1:00.31,1,11.06,59.94,2,10.72,59.98,7,10.80,1:00.43,3,10.95,1:00.03,4,10.92,1:00.07
2,10.46,1:10.58,6,10.58,1:10.89,4,10.80,1:10.74,1,10.51,1:10.49,7,10.57,1:11.00,5,10.73,1:10.76,3,10.60,1:10.67
3,10.72,1:21.30,6,10.86,1:21.75,5,10.85,1:21.59,1,10.70,1:21.19,7,10.91,1:21.91,4,10.69,1:21.45,2,10.61,1:21.28
3,10.03,1:31.33,6,9.97,1:31.72,5,10.06,1:31.65,1,9.96,1:31.15,7,9.95,1:31.86,4,9.98,1:31.43,2,9.97,1:31.25
3,9.65,1:40.98,5,9.49,1:41.21,7,9.80,1:41.45,1,9.64,1:40.79,6,9.58,1:41.44,4,9.69,1:41.12,2,9.63,1:40.88
3,9.54,1:50.52,5,9.48,1:50.69,7,10.06,1:51.51,1,9.56,1:50.35,6,9.39,1:50.83,4,9.44,1:50.56,2,9.56,1:50.44
3,9.64,2:00.16,5,9.55,2:00.24,7,10.64,2:02.15,1,9.63,1:59.98,6,9.60,2:00.43,4,9.67,2:00.23,2,9.63,2:00.07
4,9.57,2:09.73,3,9.38,2:09.62,7,11.20,2:13.35,1,9.56,2:09.54,6,9.57,2:10.00,4,9.50,2:09.73,2,9.54,2:09.61
5,9.74,2:19.47,1,9.45,2:19.07,7,11.50,2:24.85,2,9.69,2:19.23,6,9.64,2:19.64,3,9.62,2:19.35,3,9.74,2:19.35
4,9.76,2:29.210,1,9.87,2:28.919,7,11.51,2:36.340,2,9.79,2:28.998,6,10.33,2:29.938,5,10.22,2:29.543,3,9.80,2:29.136
