ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,SOMOGYI Barbara POSITION,SOMOGYI Barbara LAP TIME,SOMOGYI Barbara ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME
6,11.69,11.69,3,11.41,11.41,4,11.53,11.53,5,11.68,11.68,2,11.23,11.23,1,11.13,11.13
5,14.20,25.89,3,14.28,25.69,4,14.27,25.80,6,14.36,26.04,2,14.30,25.53,1,14.27,25.40
5,12.85,38.74,3,12.82,38.51,4,12.81,38.61,6,12.84,38.88,2,12.82,38.35,1,12.86,38.26
5,12.34,51.08,2,12.33,50.84,4,12.36,50.97,6,12.34,51.22,3,12.54,50.89,1,12.54,50.80
5,12.71,1:03.79,1,12.59,1:03.43,4,12.72,1:03.69,6,12.67,1:03.89,3,12.74,1:03.63,2,12.73,1:03.53
5,13.32,1:17.11,2,13.33,1:16.76,4,13.26,1:16.95,6,13.35,1:17.24,1,13.04,1:16.67,3,13.34,1:16.87
6,11.71,1:28.82,3,11.82,1:28.58,4,11.73,1:28.68,5,11.54,1:28.78,1,11.81,1:28.48,2,11.67,1:28.54
6,11.20,1:40.02,3,11.16,1:39.74,4,11.16,1:39.84,5,11.15,1:39.93,2,11.17,1:39.65,1,11.01,1:39.55
6,10.78,1:50.80,4,10.77,1:50.51,5,10.79,1:50.63,3,10.46,1:50.39,2,10.66,1:50.31,1,10.66,1:50.21
6,10.04,2:00.84,4,10.13,2:00.64,5,10.09,2:00.72,3,10.16,2:00.55,2,10.14,2:00.45,1,10.15,2:00.36
6,9.80,2:10.64,4,9.74,2:10.38,5,9.78,2:10.50,2,9.66,2:10.21,3,9.79,2:10.24,1,9.76,2:10.12
6,9.75,2:20.39,3,9.49,2:19.87,5,9.64,2:20.14,2,9.57,2:19.78,4,9.88,2:20.12,1,9.59,2:19.71
5,10.03,2:30.42,3,9.59,2:29.46,4,9.85,2:29.99,1,9.40,2:29.18,6,10.31,2:30.43,2,9.63,2:29.34
5,10.06,2:40.48,3,9.65,2:39.11,4,10.03,2:40.02,1,9.57,2:38.75,6,10.85,2:41.28,2,9.64,2:38.98
