Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME,Veronika DENES POSITION,Veronika DENES LAP TIME,Veronika DENES ELAPSED TIME,Izumi NISHII POSITION,Izumi NISHII LAP TIME,Izumi NISHII ELAPSED TIME,Nathalie PRESCHER POSITION,Nathalie PRESCHER LAP TIME,Nathalie PRESCHER ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,TSO Ho Yan POSITION,TSO Ho Yan LAP TIME,TSO Ho Yan ELAPSED TIME
4,9.11,9.11,2,9.01,9.01,3,9.08,9.08,1,8.88,8.88,5,9.34,9.34,6,9.40,9.40
4,12.32,21.43,1,12.36,21.37,2,12.32,21.40,3,12.55,21.43,5,12.30,21.64,6,12.30,21.70
4,12.07,33.50,1,11.88,33.25,3,12.07,33.47,2,12.04,33.47,5,12.14,33.78,6,12.10,33.80
4,13.10,46.60,1,12.91,46.16,2,13.04,46.51,3,13.13,46.60,5,12.98,46.76,6,13.22,47.02
5,12.84,59.44,1,12.72,58.88,3,12.72,59.23,4,12.74,59.34,2,12.43,59.19,6,12.75,59.77
3,11.56,1:11.00,1,11.90,1:10.78,4,11.78,1:11.01,5,11.82,1:11.16,2,11.78,1:10.97,6,11.45,1:11.22
3,11.91,1:22.91,2,11.97,1:22.75,1,11.67,1:22.68,5,11.90,1:23.06,4,12.00,1:22.97,6,12.13,1:23.35
3,11.43,1:34.34,2,11.37,1:34.12,1,11.42,1:34.10,5,11.44,1:34.50,4,11.37,1:34.34,6,11.65,1:35.00
3,11.13,1:45.47,1,11.07,1:45.19,2,11.27,1:45.37,5,11.28,1:45.78,4,11.31,1:45.65,6,12.19,1:47.19
2,10.89,1:56.36,1,11.14,1:56.33,3,11.02,1:56.39,5,10.96,1:56.74,4,10.83,1:56.48,6,12.79,1:59.98
2,10.71,2:07.07,1,10.63,2:06.96,3,10.71,2:07.10,5,11.19,2:07.93,4,11.05,2:07.53,6,13.37,2:13.35
2,10.90,2:17.97,1,10.87,2:17.83,3,10.96,2:18.06,5,11.62,2:19.55,4,10.79,2:18.32,6,14.07,2:27.42
1,10.87,2:28.84,2,11.02,2:28.85,3,10.86,2:28.92,5,12.22,2:31.77,4,11.54,2:29.86,6,14.48,2:41.90
3,10.95,2:39.785,2,10.83,2:39.680,1,10.61,2:39.527,5,12.84,2:44.605,4,11.95,2:41.809,6,14.05,2:55.941
