Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Gianluigi NOVER POSITION,Gianluigi NOVER LAP TIME,Gianluigi NOVER ELAPSED TIME,Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME
1,8.95,8.95,3,9.33,9.33,2,9.20,9.20,5,9.47,9.47,6,9.52,9.52,4,9.47,9.47,7,9.62,9.62
2,12.92,21.87,1,12.52,21.85,3,12.77,21.97,5,12.83,22.30,6,12.86,22.38,7,13.33,22.80,4,12.57,22.19
2,10.63,32.50,1,10.45,32.30,3,10.59,32.57,6,10.35,32.66,7,10.43,32.82,5,9.84,32.64,4,10.45,32.64
3,9.91,42.41,2,9.89,42.20,4,9.92,42.49,7,10.12,42.78,6,9.94,42.76,1,9.40,42.05,5,10.02,42.67
3,9.85,52.26,2,9.95,52.16,7,10.89,53.39,5,9.69,52.47,6,9.79,52.56,1,9.86,51.92,4,9.78,52.45
4,9.77,1:02.04,3,9.81,1:01.97,2,8.44,1:01.83,5,9.59,1:02.07,7,9.69,1:02.25,1,9.81,1:01.73,6,9.73,1:02.19
4,10.32,1:12.36,3,10.25,1:12.23,1,10.17,1:12.01,5,10.36,1:12.44,7,10.30,1:12.55,2,10.38,1:12.12,6,10.26,1:12.45
4,10.24,1:22.61,3,10.31,1:22.54,1,10.36,1:22.37,7,10.44,1:22.88,6,10.22,1:22.77,2,10.42,1:22.54,5,10.23,1:22.69
3,9.73,1:32.35,4,9.85,1:32.40,2,9.87,1:32.25,6,9.75,1:32.63,5,9.75,1:32.53,1,9.56,1:32.11,7,10.28,1:32.97
1,9.42,1:41.77,6,9.77,1:42.17,2,9.61,1:41.86,5,9.52,1:42.15,4,9.52,1:42.05,3,9.75,1:41.86,7,9.86,1:42.84
3,10.06,1:51.84,4,9.77,1:51.95,2,9.82,1:51.69,6,9.84,1:52.00,5,9.93,1:51.99,1,9.80,1:51.67,7,9.77,1:52.61
3,9.55,2:01.39,4,9.66,2:01.61,2,9.61,2:01.30,6,9.80,2:01.80,5,9.67,2:01.67,1,9.56,2:01.24,7,9.86,2:02.47
2,9.57,2:10.96,5,9.46,2:11.07,4,9.74,2:11.04,6,9.51,2:11.32,3,9.35,2:11.03,1,9.65,2:10.89,7,10.22,2:12.70
6,10.28,2:21.240,3,9.66,2:20.727,1,9.52,2:20.553,5,9.61,2:20.927,2,9.62,2:20.644,4,9.97,2:20.855,7,10.23,2:22.930
