CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
4,14.01,14.01,1,13.52,13.52,3,13.78,13.78,2,13.62,13.62
4,10.24,24.25,1,10.37,23.89,3,10.24,24.02,2,10.39,24.01
4,9.82,34.07,1,9.80,33.69,3,9.80,33.82,2,9.78,33.79
4,9.53,43.60,1,9.43,43.12,3,9.61,43.43,2,9.43,43.22
4,9.45,53.05,1,9.62,52.74,3,9.49,52.92,2,9.63,52.85
3,9.60,1:02.65,1,9.70,1:02.44,4,9.77,1:02.69,2,9.68,1:02.53
3,9.59,1:12.24,1,9.63,1:12.07,4,10.55,1:13.24,2,9.67,1:12.20
2,9.56,1:21.80,1,9.63,1:21.70,4,11.87,1:25.11,3,9.62,1:21.82
2,9.72,1:31.516,1,9.70,1:31.392,4,12.88,1:37.988,3,9.92,1:31.740
