VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Gabrielle WILLIAMSON-DERRAUGH POSITION,Gabrielle WILLIAMSON-DERRAUGH LAP TIME,Gabrielle WILLIAMSON-DERRAUGH ELAPSED TIME
2,15.65,15.65,3,15.72,15.72,4,15.78,15.78,1,15.57,15.57
2,12.03,27.68,3,12.02,27.74,1,11.79,27.57,4,12.19,27.76
2,11.25,38.93,3,11.29,39.03,1,11.21,38.78,4,11.39,39.15
2,11.05,49.98,4,11.07,50.10,1,11.16,49.94,3,10.86,50.01
3,10.20,1:00.18,4,10.16,1:00.26,1,10.04,59.98,2,10.07,1:00.08
3,10.07,1:10.25,4,10.01,1:10.27,1,10.10,1:10.08,2,10.04,1:10.12
3,10.24,1:20.49,4,10.30,1:20.57,2,10.33,1:20.41,1,10.10,1:20.22
2,9.90,1:30.39,3,9.86,1:30.43,4,10.29,1:30.70,1,9.86,1:30.08
2,9.99,1:40.373,3,10.32,1:40.742,4,10.64,1:41.335,1,10.21,1:40.281
