HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME
1,8.860,8.860,3,9.250,9.250,7,9.950,9.950,2,9.200,9.200,4,9.360,9.360,6,9.380,9.380,5,9.370,9.370
1,13.190,22.050,2,12.950,22.200,6,12.670,22.630,3,13.050,22.250,7,13.330,22.700,4,12.930,22.310,5,13.060,22.430
2,11.330,33.380,1,11.160,33.360,7,11.660,34.290,4,11.310,33.570,3,10.740,33.450,5,11.430,33.740,5,11.310,33.740
1,10.420,43.810,3,10.520,43.880,7,9.880,44.170,2,10.290,43.870,4,10.450,43.900,5,10.200,43.950,6,10.210,43.960
3,10.160,53.970,1,9.810,53.700,7,10.320,54.500,4,10.220,54.090,5,10.200,54.100,2,9.920,53.870,6,10.340,54.300
4,10.040,1:04.010,2,10.230,1:03.940,7,12.770,1:07.280,3,9.910,1:04.000,6,10.040,1:04.150,1,10.020,1:03.900,5,9.810,1:04.120
2,9.400,1:13.410,3,9.520,1:13.470,1,5.940,1:13.220,5,9.790,1:13.800,6,9.750,1:13.910,4,9.740,1:13.640,7,9.790,1:13.910
2,9.270,1:22.690,1,9.170,1:22.640,4,9.510,1:22.740,5,9.070,1:22.870,7,9.230,1:23.140,3,9.060,1:22.700,6,9.200,1:23.120
1,9.320,1:32.020,2,9.580,1:32.230,7,9.620,1:32.370,3,9.430,1:32.310,4,9.180,1:32.320,6,9.640,1:32.350,5,9.210,1:32.330
1,9.530,1:41.550,5,9.590,1:41.820,7,9.500,1:41.870,2,9.320,1:41.630,6,9.500,1:41.830,4,9.310,1:41.660,3,9.320,1:41.650
1,9.310,1:50.870,4,9.290,1:51.110,2,9.000,1:50.870,3,9.240,1:50.880,7,9.490,1:51.330,5,9.470,1:51.130,6,9.500,1:51.160
2,9.150,2:00.020,4,9.130,2:00.250,1,9.120,2:00.000,5,9.370,2:00.250,6,9.270,2:00.600,3,9.110,2:00.250,7,9.990,2:01.150
1,9.030,2:09.060,5,9.430,2:09.680,6,9.750,2:09.750,4,9.310,2:09.570,2,8.700,2:09.310,3,9.300,2:09.550,7,10.810,2:11.970
1,9.460,2:18.530,6,9.530,2:19.220,2,8.910,2:18.670,4,9.280,2:18.850,3,9.450,2:18.760,5,9.540,2:19.090,7,10.850,2:22.820
