ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,LIU Yang POSITION,LIU Yang LAP TIME,LIU Yang ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,JEON Ji-Soo POSITION,JEON Ji-Soo LAP TIME,JEON Ji-Soo ELAPSED TIME
1,10.24,10.24,5,10.92,10.92,2,10.38,10.38,3,10.50,10.50,4,10.67,10.67,6,11.10,11.10
3,13.79,24.03,5,13.44,24.36,4,13.74,24.12,1,13.19,23.69,2,13.14,23.81,6,13.41,24.51
3,13.02,37.05,6,12.94,37.30,5,13.04,37.16,1,13.10,36.79,2,13.11,36.92,4,12.60,37.11
4,12.36,49.41,6,12.25,49.55,5,12.31,49.47,2,12.33,49.12,3,12.37,49.29,1,11.91,49.02
5,12.34,1:01.75,1,11.73,1:01.28,6,12.44,1:01.91,4,12.32,1:01.44,3,12.12,1:01.41,2,12.28,1:01.30
5,12.03,1:13.78,1,12.00,1:13.28,6,11.96,1:13.87,4,12.18,1:13.62,3,12.07,1:13.48,2,12.08,1:13.38
2,11.05,1:24.83,3,11.70,1:24.98,6,11.36,1:25.23,1,11.03,1:24.65,4,11.51,1:24.99,5,11.71,1:25.09
3,10.19,1:35.02,4,10.17,1:35.15,6,10.12,1:35.35,1,10.12,1:34.77,2,9.88,1:34.87,5,10.16,1:35.25
3,9.84,1:44.86,4,9.83,1:44.98,6,9.81,1:45.16,1,9.90,1:44.67,2,9.89,1:44.76,5,9.83,1:45.08
1,9.70,1:54.56,4,9.92,1:54.90,6,9.94,1:55.10,2,10.02,1:54.69,3,10.03,1:54.79,5,9.92,1:55.00
1,9.69,2:04.25,4,9.65,2:04.55,6,9.65,2:04.75,2,9.66,2:04.35,3,9.68,2:04.47,5,9.66,2:04.66
1,9.63,2:13.88,4,9.61,2:14.16,5,25.54,2:30.29,2,9.66,2:14.01,3,9.59,2:14.06,6,28.55,2:33.21
1,9.66,2:23.54,2,9.47,2:23.63,5,17.15,2:47.44,3,9.73,2:23.74,4,9.78,2:23.84,6,19.33,2:52.54
1,9.86,2:33.391,2,9.77,2:33.398,5,12.87,3:00.302,3,9.71,2:33.448,4,9.83,2:33.671,6,12.60,3:05.140
