Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
1,8.89,8.89,4,9.33,9.33,2,9.01,9.01,3,9.15,9.15,5,9.39,9.39
2,13.72,22.61,5,13.78,23.11,3,13.73,22.74,4,13.73,22.88,1,13.11,22.50
3,12.57,35.18,5,12.36,35.47,1,12.02,34.76,4,12.47,35.35,2,12.56,35.06
3,11.64,46.82,5,11.67,47.14,2,11.95,46.71,4,11.63,46.98,1,11.52,46.58
1,11.36,58.18,5,11.62,58.76,3,11.77,58.48,4,11.65,58.63,2,11.78,58.36
2,11.40,1:09.58,5,11.22,1:09.98,3,11.21,1:09.69,4,11.21,1:09.84,1,11.14,1:09.50
2,11.40,1:20.98,5,11.39,1:21.37,3,11.37,1:21.06,4,11.38,1:21.22,1,11.38,1:20.88
3,10.82,1:31.80,5,10.72,1:32.09,2,10.63,1:31.69,4,10.75,1:31.97,1,10.68,1:31.56
3,10.53,1:42.33,5,10.52,1:42.61,2,10.51,1:42.20,4,10.50,1:42.47,1,10.53,1:42.09
3,10.72,1:53.05,4,10.46,1:53.07,2,10.73,1:52.93,5,10.69,1:53.16,1,10.73,1:52.82
4,10.41,2:03.46,1,9.78,2:02.85,3,10.37,2:03.30,5,10.68,2:03.84,2,10.37,2:03.19
4,10.11,2:13.57,1,9.80,2:12.65,3,10.02,2:13.32,5,10.89,2:14.73,2,9.95,2:13.14
4,10.50,2:24.07,1,9.93,2:22.58,3,10.21,2:23.53,5,11.40,2:26.13,2,10.06,2:23.20
4,11.42,2:35.487,1,10.22,2:32.798,3,10.75,2:34.274,5,11.95,2:38.078,2,10.46,2:33.653
