Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
2,7.04,7.04,1,6.97,6.97,3,7.14,7.14,4,7.31,7.31
1,9.26,16.31,3,9.46,16.44,2,9.25,16.40,4,9.25,16.56
2,9.00,25.31,3,8.87,25.31,1,8.53,24.93,4,8.83,25.40
2,8.79,34.10,3,8.83,34.15,1,8.93,33.87,4,8.91,34.31
3,9.28,43.379,4,9.43,43.579,1,9.07,42.936,2,8.99,43.295
