LO Wei-Lin POSITION,LO Wei-Lin LAP TIME,LO Wei-Lin ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Alexander SEKISOV POSITION,Alexander SEKISOV LAP TIME,Alexander SEKISOV ELAPSED TIME,Tomonori IKE POSITION,Tomonori IKE LAP TIME,Tomonori IKE ELAPSED TIME,Thomas BAUER POSITION,Thomas BAUER LAP TIME,Thomas BAUER ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
6,8.755,8.755,1,8.181,8.181,4,8.563,8.563,3,8.469,8.469,5,8.582,8.582,2,8.223,8.223
6,10.885,19.640,1,10.972,19.153,4,10.763,19.325,3,10.789,19.258,5,10.950,19.531,2,10.953,19.176
6,10.478,30.117,1,10.450,29.603,3,10.507,29.832,4,10.602,29.860,5,10.583,30.114,2,10.587,29.762
6,11.546,41.663,1,11.489,41.091,4,11.709,41.541,3,11.433,41.292,5,11.462,41.576,2,11.361,41.122
6,11.255,52.918,3,11.466,52.557,4,11.296,52.836,2,11.237,52.528,5,11.280,52.856,1,11.223,52.345
6,11.294,1:04.211,4,11.404,1:03.961,5,11.319,1:04.155,3,11.367,1:03.894,2,11.021,1:03.877,1,11.417,1:03.761
6,10.241,1:14.451,1,10.031,1:13.991,5,10.288,1:14.443,4,10.287,1:14.181,3,10.295,1:14.171,2,10.305,1:14.066
6,10.132,1:24.583,1,9.963,1:23.954,5,9.814,1:24.256,2,9.865,1:24.045,3,9.893,1:24.064,4,10.006,1:24.072
6,10.130,1:34.712,2,10.013,1:33.966,4,10.089,1:34.345,5,10.330,1:34.374,3,10.100,1:34.163,1,9.865,1:33.936
6,9.860,1:44.572,1,9.800,1:43.765,5,9.854,1:44.198,4,9.778,1:44.151,3,9.778,1:43.940,2,9.849,1:43.785
6,9.859,1:54.430,2,9.886,1:53.650,5,9.744,1:53.942,4,9.625,1:53.776,3,9.717,1:53.657,1,9.680,1:53.465
6,10.303,2:04.733,3,9.707,2:03.356,5,9.814,2:03.756,4,9.672,2:03.448,2,9.653,2:03.309,1,9.506,2:02.971
6,10.375,2:15.108,3,9.844,2:13.200,5,9.821,2:13.577,4,9.840,2:13.287,2,9.691,2:12.999,1,9.670,2:12.641
6,11.14,2:26.241,2,9.97,2:23.165,5,10.01,2:23.584,4,10.11,2:23.390,3,10.28,2:23.275,1,10.36,2:22.994
