Ben SOUTHEE POSITION,Ben SOUTHEE LAP TIME,Ben SOUTHEE ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME
2,8.9434,8.9434,5,9.6112,9.6112,3,9.0372,9.0372,1,8.9354,8.9354,4,9.1308,9.1308
3,11.6618,20.6052,5,11.5325,21.1437,1,11.5607,20.5979,2,11.6676,20.6030,4,11.6643,20.7951
3,10.9868,31.5920,4,10.6479,31.7916,1,10.5106,31.1085,2,10.9392,31.5422,5,11.0011,31.7962
3,11.1331,42.7251,5,11.1477,42.9393,1,11.4692,42.5777,2,11.1306,42.6728,4,11.1076,42.9038
2,11.0360,53.7611,5,11.2437,54.1830,1,10.9016,53.4793,3,11.1574,53.8302,4,11.1632,54.0670
3,11.5936,1:05.3547,5,11.5463,1:05.7293,1,11.7792,1:05.2585,2,11.4481,1:05.2783,4,11.4558,1:05.5228
1,11.5045,1:16.8592,4,11.5309,1:17.2602,5,12.0123,1:17.2708,2,11.5879,1:16.8662,3,11.4440,1:16.9668
1,11.0434,1:27.9026,5,11.0349,1:28.2951,4,10.8507,1:28.1215,2,11.1363,1:28.0025,3,11.1362,1:28.1030
1,10.6236,1:38.5262,5,10.5113,1:38.8064,4,10.6811,1:38.8026,3,10.5994,1:38.6019,2,10.4538,1:38.5568
3,10.5180,1:49.0442,4,10.3093,1:49.1157,5,10.3556,1:49.1582,2,10.2795,1:48.8814,1,10.1876,1:48.7444
4,9.7114,1:58.7556,5,9.8507,1:58.9664,3,9.5916,1:58.7498,2,9.7633,1:58.6447,1,9.6948,1:58.4392
4,9.7096,2:08.4652,5,10.0724,2:09.0388,3,9.4629,2:08.2127,2,9.5053,2:08.1500,1,9.4686,2:07.9078
4,9.7664,2:18.2316,5,9.5661,2:18.6049,1,9.3558,2:17.5685,3,9.6619,2:17.8119,2,9.6978,2:17.6056
4,10.13,2:28.358,5,12.33,2:30.927,1,9.50,2:27.062,3,10.22,2:28.028,2,9.74,2:27.340
