Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME
1,7.32,7.32,2,7.45,7.45,3,7.52,7.52,4,7.66,7.66
1,9.75,17.07,2,9.64,17.10,4,9.92,17.44,3,9.68,17.35
2,9.40,26.48,1,9.17,26.27,3,9.25,26.70,4,21.06,38.41
2,9.44,35.93,1,9.21,35.49,3,9.43,36.13,4,25.40,1:03.81
2,9.79,45.714,1,9.78,45.263,3,9.62,45.746,4,16.56,1:20.368
