Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Minto SEKAI POSITION,Minto SEKAI LAP TIME,Minto SEKAI ELAPSED TIME
2,8.38,8.38,3,8.51,8.51,1,8.29,8.29,5,8.62,8.62,4,8.60,8.60,6,8.75,8.75
2,11.20,19.58,5,11.39,19.90,3,11.39,19.68,1,10.85,19.47,4,11.11,19.71,6,11.31,20.06
2,10.33,29.91,5,10.20,30.10,3,10.30,29.98,1,10.33,29.80,4,10.34,30.05,6,10.17,30.23
3,10.59,40.50,1,10.25,40.35,4,10.63,40.61,2,10.57,40.37,5,10.60,40.65,6,10.64,40.87
3,9.93,50.43,2,10.03,50.38,4,9.91,50.52,1,9.93,50.30,5,10.02,50.67,6,9.96,50.83
1,9.59,1:00.02,3,9.79,1:00.17,4,9.75,1:00.27,2,9.76,1:00.06,5,9.72,1:00.39,6,9.73,1:00.56
1,9.78,1:09.80,2,9.71,1:09.88,4,9.71,1:09.98,3,9.82,1:09.88,5,9.70,1:10.09,6,9.64,1:10.20
2,9.65,1:19.45,1,9.55,1:19.43,4,9.73,1:19.71,3,9.63,1:19.51,5,9.71,1:19.80,6,9.79,1:19.99
2,9.59,1:29.04,1,9.49,1:28.92,6,9.58,1:29.29,3,9.59,1:29.10,4,9.42,1:29.22,5,9.29,1:29.28
2,9.53,1:38.57,1,9.49,1:38.41,6,10.01,1:39.30,3,9.55,1:38.65,4,9.53,1:38.75,5,9.58,1:38.86
4,9.78,1:48.35,1,9.42,1:47.83,6,9.80,1:49.10,2,9.24,1:47.89,3,9.24,1:47.99,5,9.55,1:48.41
5,9.69,1:58.04,3,9.34,1:57.17,6,9.75,1:58.85,1,9.10,1:56.99,2,9.14,1:57.13,4,9.44,1:57.85
5,9.77,2:07.81,3,9.69,2:06.86,6,9.95,2:08.80,1,9.21,2:06.20,2,9.29,2:06.42,4,9.79,2:07.64
5,10.12,2:17.926,3,9.96,2:16.811,6,10.30,2:19.094,1,9.55,2:15.742,2,9.72,2:16.132,4,10.16,2:17.797
