Roza KOOYSTRA POSITION,Roza KOOYSTRA LAP TIME,Roza KOOYSTRA ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
2,11.05,11.05,5,11.56,11.56,3,11.21,11.21,1,10.84,10.84,4,11.40,11.40
2,17.34,28.39,5,17.47,29.03,3,17.32,28.53,1,17.38,28.22,4,17.40,28.80
3,16.60,44.99,5,16.40,45.43,2,16.34,44.87,1,16.58,44.80,4,16.42,45.22
2,13.90,58.89,5,13.93,59.36,1,13.83,58.70,3,14.14,58.94,4,13.97,59.19
1,13.03,1:11.92,5,13.13,1:12.49,3,13.31,1:12.01,2,13.02,1:11.96,4,12.82,1:12.01
3,11.82,1:23.74,5,11.61,1:24.10,4,11.83,1:23.84,1,11.54,1:23.50,2,11.63,1:23.64
3,11.38,1:35.12,5,11.39,1:35.49,4,11.38,1:35.22,1,11.37,1:34.87,2,11.37,1:35.01
2,10.71,1:45.83,5,10.70,1:46.19,4,10.78,1:46.00,1,10.87,1:45.74,3,10.87,1:45.88
2,10.20,1:56.03,5,10.26,1:56.45,4,10.23,1:56.23,1,10.17,1:55.91,3,10.24,1:56.12
2,9.84,2:05.87,5,9.86,2:06.31,4,9.86,2:06.09,1,9.89,2:05.80,3,9.86,2:05.98
2,9.84,2:15.71,5,9.68,2:15.99,4,9.85,2:15.94,1,9.83,2:15.63,3,9.86,2:15.84
4,9.93,2:25.64,1,9.40,2:25.39,5,10.13,2:26.07,2,9.92,2:25.55,3,9.77,2:25.61
4,9.96,2:35.60,1,9.15,2:34.54,5,10.72,2:36.79,3,9.92,2:35.47,2,9.61,2:35.22
4,10.17,2:45.767,1,9.33,2:43.865,5,11.09,2:47.874,3,10.25,2:45.720,2,9.76,2:44.980
