Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME
2,13.14,13.14,3,13.21,13.21,4,13.38,13.38,1,13.00,13.00,5,13.55,13.55
3,10.48,23.62,2,10.26,23.47,4,10.39,23.77,1,10.36,23.36,5,10.35,23.90
3,10.01,33.63,1,9.93,33.40,4,10.03,33.80,2,10.18,33.54,5,10.00,33.90
3,9.81,43.44,1,9.80,43.20,4,9.78,43.58,2,9.80,43.34,5,9.77,43.67
3,9.63,53.07,1,9.63,52.83,5,9.72,53.30,2,9.61,52.95,4,9.51,53.18
2,9.02,1:02.09,4,9.42,1:02.25,5,9.03,1:02.33,1,9.03,1:01.98,3,9.01,1:02.19
1,8.86,1:10.95,5,9.46,1:11.71,4,9.02,1:11.35,2,9.08,1:11.06,3,8.93,1:11.12
1,8.96,1:19.91,5,9.47,1:21.18,4,8.99,1:20.34,2,9.03,1:20.09,3,9.12,1:20.24
1,8.90,1:28.81,5,10.24,1:31.42,0,8.97,1:29.31,2,8.89,1:28.98,0,9.08,1:29.32
