Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,12.51,12.51,3,12.88,12.88,4,13.02,13.02,2,12.68,12.68
1,9.80,22.31,3,9.62,22.50,4,9.59,22.61,2,9.69,22.37
2,9.44,31.75,3,9.39,31.89,4,9.37,31.98,1,9.30,31.67
3,9.67,41.42,1,9.25,41.14,2,9.40,41.38,4,9.81,41.48
4,9.66,51.08,1,9.71,50.85,2,9.53,50.91,3,9.52,51.00
4,9.66,1:00.74,1,9.63,1:00.48,2,9.59,1:00.50,3,9.63,1:00.63
4,9.59,1:10.33,2,9.36,1:09.84,1,9.18,1:09.68,3,9.46,1:10.09
4,10.02,1:20.35,2,9.18,1:19.02,1,9.26,1:18.94,3,9.08,1:19.17
4,23.94,1:44.282,2,9.37,1:28.387,1,9.36,1:28.298,3,9.29,1:28.459
