Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME
1,13.34,13.34,2,14.06,14.06,4,14.18,14.18,3,14.18,14.18
1,10.07,23.41,2,9.61,23.67,4,10.20,24.38,3,9.61,23.79
1,10.00,33.41,2,9.86,33.53,4,9.46,33.84,3,9.90,33.69
1,9.89,43.30,2,9.87,43.40,4,9.83,43.67,3,9.82,43.51
1,9.85,53.15,2,9.85,53.25,4,9.80,53.47,3,9.86,53.37
1,9.65,1:02.80,2,9.58,1:02.83,4,9.73,1:03.20,3,9.63,1:03.00
3,9.68,1:12.48,1,9.27,1:12.10,4,9.90,1:13.10,2,9.43,1:12.43
3,9.85,1:22.33,1,9.31,1:21.41,4,10.24,1:23.34,2,9.01,1:21.44
3,10.06,1:32.384,2,9.39,1:30.798,4,10.35,1:33.688,1,8.97,1:30.401
