Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
1,6.77,6.77,2,6.92,6.92,3,7.02,7.02
1,9.49,16.26,2,9.43,16.35,3,9.40,16.43
1,8.60,24.87,2,8.73,25.09,3,8.85,25.28
1,8.69,33.56,3,24.02,49.12,2,8.80,34.09
1,9.26,42.820,3,18.82,1:07.937,2,9.05,43.133
