Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
1,12.571,12.571,3,12.804,12.804,4,12.833,12.833,2,12.768,12.768
1,9.579,22.150,2,9.360,22.163,4,9.760,22.594,3,9.713,22.481
1,9.416,31.566,2,9.425,31.588,4,9.332,31.926,3,9.343,31.824
1,9.443,41.009,2,9.502,41.090,4,9.661,41.586,3,9.398,41.222
1,9.301,50.310,3,9.432,50.522,4,8.990,50.576,2,9.268,50.490
2,9.222,59.532,3,9.328,59.850,4,9.275,59.851,1,8.919,59.409
3,9.415,1:08.947,4,9.415,1:09.265,2,8.804,1:08.655,1,8.918,1:08.327
4,9.502,1:18.448,3,9.086,1:18.351,2,8.921,1:17.576,1,9.113,1:17.440
4,9.793,1:28.242,3,9.788,1:28.139,1,9.139,1:26.715,2,9.415,1:26.855
