Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME
3,7.84,7.84,2,7.61,7.61,1,7.33,7.33,4,8.22,8.22
3,9.88,17.72,2,9.94,17.55,1,9.89,17.22,4,10.23,18.45
2,9.31,27.03,3,9.75,27.30,1,9.48,26.70,4,9.68,28.13
2,9.40,36.43,3,9.87,37.17,1,9.56,36.26,4,9.80,37.93
2,9.82,46.243,3,10.06,47.222,1,9.85,46.102,4,9.88,47.808
