GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME,DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME
2,9.30,9.30,6,10.00,10.00,5,9.71,9.71,4,9.55,9.55,3,9.46,9.46,1,9.00,9.00,7,10.16,10.16
2,12.30,21.60,6,12.25,22.25,5,12.39,22.10,4,12.41,21.96,3,12.31,21.77,1,12.40,21.40,7,12.26,22.42
2,11.29,32.89,5,11.03,33.28,6,11.33,33.43,4,11.17,33.13,3,11.26,33.03,1,11.28,32.68,7,11.15,33.57
2,10.63,43.52,5,10.62,43.90,6,10.57,44.00,4,10.63,43.76,3,10.61,43.64,1,10.68,43.36,7,10.56,44.13
2,10.47,53.99,5,10.36,54.26,6,10.34,54.34,4,10.40,54.16,3,10.44,54.08,1,10.53,53.89,7,10.33,54.46
1,10.37,1:04.36,5,10.38,1:04.64,6,10.41,1:04.75,3,10.30,1:04.46,4,10.39,1:04.47,2,10.50,1:04.39,7,10.47,1:04.93
2,9.86,1:14.22,4,9.77,1:14.41,5,9.79,1:14.54,1,9.48,1:13.94,3,9.84,1:14.31,7,10.62,1:15.01,6,9.74,1:14.67
3,9.69,1:23.91,2,9.38,1:23.79,4,9.48,1:24.02,1,9.65,1:23.59,4,9.71,1:24.02,7,10.68,1:25.69,6,9.50,1:24.17
6,9.83,1:33.74,3,9.60,1:33.39,1,9.30,1:33.32,2,9.75,1:33.34,5,9.61,1:33.63,7,10.79,1:36.48,4,9.36,1:33.53
6,9.89,1:43.63,3,9.60,1:42.99,1,9.42,1:42.74,2,9.59,1:42.93,5,9.78,1:43.41,7,11.07,1:47.55,4,9.74,1:43.27
6,9.93,1:53.56,1,9.43,1:52.42,2,9.69,1:52.43,3,9.75,1:52.68,5,9.98,1:53.39,7,11.29,1:58.84,4,9.64,1:52.91
6,10.16,2:03.72,1,9.33,2:01.75,2,9.44,2:01.87,3,9.58,2:02.26,5,10.19,2:03.58,7,11.65,2:10.49,4,10.11,2:03.02
5,10.43,2:14.15,1,9.40,2:11.15,2,9.45,2:11.32,3,9.73,2:11.99,6,10.64,2:14.22,7,12.41,2:22.90,4,10.58,2:13.60
5,10.69,2:24.814,1,9.66,2:20.798,2,9.81,2:21.111,3,10.11,2:22.083,6,11.22,2:25.425,7,11.99,2:34.862,4,10.94,2:24.531
