Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME
2,13.21,13.21,4,13.38,13.38,3,13.30,13.30,1,13.12,13.12
1,10.03,23.24,3,10.11,23.49,4,10.23,23.53,2,10.29,23.41
1,9.59,32.83,4,9.70,33.19,3,9.50,33.03,2,9.53,32.94
1,9.34,42.17,4,9.29,42.48,3,9.34,42.37,2,9.24,42.18
2,9.23,51.40,4,9.47,51.95,3,9.15,51.52,1,9.13,51.31
2,9.30,1:00.70,4,9.73,1:01.68,3,9.33,1:00.85,1,9.33,1:00.64
2,9.44,1:10.14,4,10.07,1:11.75,3,9.41,1:10.26,1,9.41,1:10.05
2,9.47,1:19.61,4,10.86,1:22.61,3,9.41,1:19.67,1,9.50,1:19.55
2,9.70,1:29.309,4,11.17,1:33.771,3,9.84,1:29.509,1,9.70,1:29.246
