Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,LI Haonan POSITION,LI Haonan LAP TIME,LI Haonan ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME
3,7.11,7.11,2,7.00,7.00,1,6.99,6.99,4,7.12,7.12
4,9.86,16.97,3,9.72,16.72,2,9.60,16.60,1,9.39,16.51
3,8.87,25.85,2,9.02,25.75,4,9.34,25.94,1,9.10,25.61
2,8.88,34.73,3,9.00,34.75,4,8.98,34.92,1,9.05,34.67
3,9.32,44.046,1,9.20,43.943,4,9.42,44.333,2,9.33,43.997
