Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME
2,12.460,12.460,4,12.550,12.550,3,12.520,12.520,1,12.260,12.260
2,9.780,22.240,1,9.680,22.240,4,10.000,22.530,3,10.180,22.440
2,10.130,32.370,3,10.170,32.410,4,10.240,32.770,1,9.810,32.260
1,9.280,41.660,3,9.650,42.070,4,9.370,42.140,2,9.680,41.950
1,9.700,51.370,4,9.720,51.790,3,9.630,51.780,2,9.720,51.670
1,9.500,1:00.870,3,9.210,1:01.010,2,9.210,1:00.990,4,9.490,1:01.160
1,9.430,1:10.310,3,9.570,1:10.580,2,9.420,1:10.410,4,9.710,1:10.880
2,9.330,1:19.640,3,9.250,1:19.840,1,9.220,1:19.630,4,9.560,1:20.440
1,9.270,1:28.910,3,9.450,1:29.300,2,9.580,1:29.220,4,11.060,1:31.510
