Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME
4,12.92,12.92,3,12.80,12.80,1,12.53,12.53,2,12.68,12.68,5,13.08,13.08
4,10.34,23.26,3,10.34,23.14,1,10.38,22.91,2,10.37,23.05,5,10.34,23.42
4,10.14,33.40,3,10.05,33.19,2,10.23,33.14,1,10.04,33.09,5,10.14,33.56
4,9.27,42.67,3,9.29,42.48,2,9.30,42.44,1,9.31,42.40,5,9.26,42.82
4,9.31,51.98,3,9.31,51.79,2,9.20,51.64,1,9.22,51.62,5,9.28,52.10
5,9.17,1:01.15,3,9.00,1:00.79,1,8.93,1:00.57,2,9.09,1:00.71,4,8.92,1:01.02
5,9.18,1:10.33,3,8.95,1:09.74,1,8.95,1:09.52,2,8.87,1:09.58,4,8.86,1:09.88
5,9.35,1:19.68,3,8.95,1:18.69,1,8.95,1:18.47,2,9.03,1:18.61,4,8.96,1:18.84
5,10.04,1:29.722,3,9.09,1:27.78,1,9.04,1:27.51,2,9.09,1:27.70,4,8.99,1:27.837
