SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Namasthee HARRIS-GAUTHIER POSITION,Namasthee HARRIS-GAUTHIER LAP TIME,Namasthee HARRIS-GAUTHIER ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME
4,9.91,9.91,3,9.79,9.79,2,9.65,9.65,1,9.56,9.56,5,10.06,10.06
3,14.00,23.91,4,14.14,23.93,2,14.13,23.78,1,14.10,23.66,5,14.07,24.13
3,12.02,35.93,1,11.67,35.60,4,12.29,36.07,2,12.12,35.78,5,12.07,36.20
3,11.55,47.48,1,11.79,47.39,4,11.49,47.56,2,11.68,47.46,5,11.39,47.59
4,10.56,58.04,3,10.53,57.92,5,10.64,58.20,2,10.35,57.81,1,10.05,57.64
4,10.50,1:08.54,2,10.37,1:08.29,5,10.46,1:08.66,3,10.62,1:08.43,1,10.52,1:08.16
4,10.21,1:18.75,3,10.25,1:18.54,5,10.21,1:18.87,2,10.02,1:18.45,1,10.23,1:18.39
4,10.18,1:28.93,1,10.19,1:28.73,5,10.20,1:29.07,3,10.39,1:28.84,1,10.34,1:28.73
4,9.85,1:38.78,1,9.65,1:38.38,5,9.82,1:38.89,3,9.83,1:38.67,2,9.82,1:38.55
4,9.64,1:48.42,1,9.81,1:48.19,5,9.68,1:48.57,3,9.67,1:48.34,2,9.74,1:48.29
1,9.56,1:57.98,3,9.95,1:58.14,2,9.56,1:58.13,4,9.96,1:58.30,5,10.12,1:58.41
1,9.83,2:07.81,3,10.01,2:08.15,2,9.80,2:07.93,4,9.98,2:08.28,5,11.09,2:09.50
1,9.86,2:17.67,3,9.90,2:18.05,2,9.84,2:17.77,4,10.08,2:18.36,5,12.29,2:21.79
1,10.05,2:27.721,3,10.23,2:28.281,2,10.06,2:27.833,4,10.62,2:28.982,5,12.59,2:34.386
