Karl LINDQVIST POSITION,Karl LINDQVIST LAP TIME,Karl LINDQVIST ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
2,7.17,7.17,1,7.11,7.11,3,7.73,7.73
3,10.02,17.19,1,9.17,16.28,2,9.43,17.17
3,9.19,26.39,1,8.81,25.09,2,8.99,26.16
3,9.92,36.32,1,9.05,34.14,2,9.17,35.33
3,9.86,46.180,1,9.21,43.348,2,9.52,44.847
