Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Alexander MERRIMAN POSITION,Alexander MERRIMAN LAP TIME,Alexander MERRIMAN ELAPSED TIME
0,10.340,10.340,0,10.699,10.699,0,10.274,10.274,0,10.930,10.930,0,10.595,10.595,0,11.185,11.185
0,14.764,25.104,0,14.673,25.372,0,14.767,25.040,0,14.416,25.346,0,14.383,24.978,0,14.381,25.567
0,12.897,38.001,0,12.680,38.051,0,12.877,37.917,0,12.822,38.168,0,13.266,38.243,0,13.111,38.677
0,11.519,49.520,0,11.549,49.600,0,11.564,49.480,0,11.747,49.915,0,11.365,49.608,0,11.364,50.041
0,11.274,1:00.794,0,11.352,1:00.952,0,11.305,1:00.785,0,11.165,1:01.081,0,11.179,1:00.787,0,11.257,1:01.298
0,11.010,1:11.804,0,11.053,1:12.005,0,11.044,1:11.829,0,11.019,1:12.099,0,10.907,1:11.694,0,11.023,1:12.321
0,10.903,1:22.706,0,10.944,1:22.949,0,10.816,1:22.645,0,10.946,1:23.045,0,11.318,1:23.013,0,11.032,1:23.354
0,10.740,1:33.446,0,10.748,1:33.696,0,10.830,1:33.475,0,10.806,1:33.852,0,10.011,1:33.023,0,10.611,1:33.965
0,9.897,1:43.343,0,9.956,1:43.652,0,9.787,1:43.262,0,9.894,1:43.746,0,10.016,1:43.039,0,9.590,1:43.554
0,9.379,1:52.722,0,9.397,1:53.049,0,9.550,1:52.812,0,9.348,1:53.094,0,9.263,1:52.302,0,8.896,1:52.451
0,8.901,2:01.623,0,9.078,2:02.127,0,9.076,2:01.888,0,9.327,2:02.421,0,9.315,2:01.617,0,9.083,2:01.534
0,9.395,2:11.018,0,9.084,2:11.211,0,9.018,2:10.906,0,9.159,2:11.580,0,9.229,2:10.846,0,9.174,2:10.707
0,9.272,2:20.290,0,9.517,2:20.727,0,9.049,2:19.955,0,9.218,2:20.798,0,8.753,2:19.599,0,9.145,2:19.853
0,9.577,2:29.867,0,10.562,2:31.289,0,9.351,2:29.306,0,9.433,2:30.231,0,9.318,2:28.917,0,9.682,2:29.534
