Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME
3,13.18,13.18,2,13.06,13.06,4,13.26,13.26,1,12.98,12.98
3,9.86,23.04,1,9.76,22.82,4,9.93,23.19,2,9.95,22.93
1,9.18,32.22,3,9.42,32.24,4,9.26,32.45,2,9.29,32.22
2,8.98,41.20,3,8.96,41.20,4,8.95,41.40,1,8.97,41.19
1,9.29,50.49,2,9.42,50.62,3,9.34,50.74,4,9.56,50.75
1,9.30,59.79,2,9.31,59.93,4,9.42,1:00.16,3,9.26,1:00.01
1,9.19,1:08.98,2,9.15,1:09.08,4,9.21,1:09.37,3,9.16,1:09.17
1,9.30,1:18.28,2,9.30,1:18.38,4,9.36,1:18.73,3,9.25,1:18.42
2,9.22,1:27.495,1,8.93,1:27.303,4,9.20,1:27.923,3,9.10,1:27.515
