EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME
2,14.35,14.35,3,14.46,14.46,1,14.25,14.25,4,14.65,14.65,6,14.97,14.97,5,14.81,14.81
2,11.71,26.06,3,11.69,26.15,1,11.69,25.94,4,11.61,26.26,6,11.55,26.52,5,11.55,26.36
2,10.98,37.04,5,11.06,37.21,1,10.92,36.86,3,10.92,37.18,6,10.87,37.39,4,10.84,37.20
1,9.63,46.67,4,9.68,46.89,2,9.94,46.80,3,9.63,46.81,6,9.90,47.29,5,10.02,47.22
1,9.44,56.11,2,9.68,56.57,6,10.53,57.33,4,10.09,56.90,3,9.59,56.88,5,9.98,57.20
1,9.63,1:05.74,2,9.40,1:05.97,6,9.87,1:07.20,4,9.86,1:06.76,3,9.73,1:06.61,5,9.97,1:07.17
1,9.77,1:15.51,2,9.62,1:15.59,5,9.78,1:16.98,4,9.99,1:16.75,3,9.86,1:16.47,6,10.33,1:17.50
1,9.99,1:25.50,2,10.00,1:25.59,4,10.16,1:27.14,4,10.39,1:27.14,3,10.19,1:26.66,6,10.75,1:28.25
1,10.20,1:35.685,2,10.37,1:35.949,5,11.26,1:38.385,4,10.42,1:37.545,3,10.64,1:37.273,6,11.28,1:39.513
