Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME
1,14.05,14.05,3,14.15,14.15,4,14.35,14.35,2,14.12,14.12
2,10.64,24.69,3,10.64,24.79,4,10.64,24.99,1,10.47,24.59
2,10.45,35.14,3,10.42,35.21,4,10.37,35.36,1,10.46,35.05
2,10.26,45.40,3,10.26,45.47,4,10.17,45.53,1,10.26,45.31
2,9.96,55.36,4,10.47,55.94,3,9.95,55.48,1,9.95,55.26
1,9.86,1:05.22,4,9.78,1:05.72,3,10.06,1:05.54,2,10.22,1:05.48
1,9.56,1:14.78,3,9.86,1:15.58,2,9.59,1:15.13,4,10.36,1:15.84
1,9.62,1:24.40,3,9.54,1:25.12,2,9.43,1:24.56,4,10.23,1:26.07
1,10.09,1:34.488,2,10.06,1:35.172,0,,PEN,3,10.76,1:36.829
