Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Yuna KOIKE POSITION,Yuna KOIKE LAP TIME,Yuna KOIKE ELAPSED TIME,Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME
1,13.10,13.10,4,13.28,13.28,5,13.36,13.36,2,13.18,13.18,3,13.18,13.18
2,9.96,23.06,4,10.01,23.29,5,10.00,23.36,3,9.99,23.17,1,9.81,22.99
1,10.27,33.33,4,10.26,33.55,5,10.45,33.81,3,10.32,33.49,2,10.36,33.35
1,9.99,43.32,4,10.02,43.57,5,9.86,43.67,3,9.98,43.47,2,10.03,43.38
1,10.09,53.41,4,10.13,53.70,5,10.15,53.82,3,10.13,53.60,2,10.12,53.50
1,10.02,1:03.43,4,10.12,1:03.82,5,10.08,1:03.90,3,10.04,1:03.64,2,10.04,1:03.54
2,9.98,1:13.41,4,9.77,1:13.59,5,9.81,1:13.71,3,9.85,1:13.49,1,9.74,1:13.28
2,9.94,1:23.35,3,10.13,1:23.72,4,10.18,1:23.89,5,10.70,1:24.19,1,10.01,1:23.29
0,,PEN,2,9.95,1:33.665,3,10.42,1:34.302,4,10.74,1:34.930,1,10.07,1:33.352
